           0  14135489.403447   0.000  0.000  0.000  
        1000   0.329246   0.119  0.748  0.000  
        2000   0.302553   0.119  0.750  0.000  
        3000   0.300372   0.119  0.752  0.000  
        4000   0.291180   0.120  0.752  0.000  
        5000   0.293745   0.120  0.752  0.000  
        6000   0.293623   0.120  0.752  0.000  
        7000   0.283803   0.120  0.752  0.000  
        8000   0.287845   0.120  0.752  0.000  
        9000   0.290355   0.120  0.752  0.000  
       10000   0.287162   0.120  0.752  0.000  
